seller_id,order_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state,mql_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue
34f563c82a85b99ae9e6d60db5fc2e28,055b09c841dc52097e688df51b163310,0b83af8e524bbb2aa83ba090f5be21ff,aaf2d0137050d06ef2c8752f35c0d936,13287,vinhedo,SP,delivered,"2018-04-26 22:30:00","2018-04-26 22:51:17","2018-04-27 16:17:00","2018-05-02 21:12:23","2018-05-22 02:00:00",1,72cb4380c5a90c64048cafdf60d31f88,"2018-05-03 22:51:17",185.9,16.18,93700,"campo bom",RS,dcb63974e7efcb5cf46738cb2a22edf1,09285259593c61296eef10c734121d5b,d3d1e91a157ea7f90548eef82f1955e3,"2018-04-04 21:56:06",audio_video_electronics,online_medium,eagle,NULL,NULL,NULL,reseller,NULL,0
1e26c56af8d48424e1df0140a2401f83,11e930fd8da276f30361256c23d58196,e4d86d1da4dc444b482115d7aeb1cc3f,70e15e657d597f3c096fb696e815018f,97590,"rosario do sul",RS,delivered,"2018-08-08 13:14:31","2018-08-08 13:30:12","2018-08-09 15:38:00","2018-08-17 02:38:47","2018-08-29 02:00:00",1,167b19e93baccb17916b9a6dd03264e7,"2018-08-16 13:30:12",59.9,18.52,13911,jaguariuna,SP,5d23750fc8ccf6284ca2ef9063c7b395,9e4d1098a3b0f5da39b0bc48f9876645,fbf4aef3f6915dc0c3c97d6812522f6a,"2018-02-26 14:02:58",construction_tools_house_garden,offline,cat,NULL,NULL,NULL,reseller,NULL,0
11742f81550ac064cc9a40f67151d9ad,0739104e30e20de6c0956c0889a9b9dc,066a9e746ce5eead40d2afa9bccd3d7d,227dee340139e8c2f57bf05bcb1246f8,4171,"sao paulo",SP,delivered,"2018-08-17 21:00:16","2018-08-17 21:10:44","2018-08-21 08:04:00","2018-08-27 18:02:46","2018-08-31 02:00:00",1,2f07e976774b91520e17dd3b2dba73c3,"2018-08-23 21:10:44",369.9,24.41,15810,catanduva,SP,79c57bf41c34485dfe8b0d15d45a5fa2,370c9f455f93a9a96cbe9bea48e70033,de63de0d10a6012430098db33c679b0b,"2018-05-31 23:24:31",home_appliances,online_medium,wolf,NULL,NULL,NULL,reseller,NULL,0
2fa13c8bd5705d279f7ed5cc9ec61c68,0c06719338eba9ad30362c43bad76d87,627dfd4a1b84a6a7e2a5e989ba72101d,4c3e319751f31fb9c21a247247fe85e0,70680,brasilia,DF,delivered,"2018-07-10 19:52:57","2018-07-10 22:31:01","2018-07-12 15:23:00","2018-07-16 15:51:39","2018-07-27 02:00:00",3,a3c6e207e106b9ccc0b813a7a0932530,"2018-07-16 20:06:38",23.5,17.97,4679,"sao paulo",SP,e5d0a99e3684733914f594116839e0c2,fdb16d3cbbeb5798f2f66c4096be026d,fbf4aef3f6915dc0c3c97d6812522f6a,"2018-01-18 03:00:00",health_beauty,online_medium,NULL,NULL,NULL,NULL,reseller,NULL,0
2fa13c8bd5705d279f7ed5cc9ec61c68,0c06719338eba9ad30362c43bad76d87,627dfd4a1b84a6a7e2a5e989ba72101d,4c3e319751f31fb9c21a247247fe85e0,70680,brasilia,DF,delivered,"2018-07-10 19:52:57","2018-07-10 22:31:01","2018-07-12 15:23:00","2018-07-16 15:51:39","2018-07-27 02:00:00",2,a3c6e207e106b9ccc0b813a7a0932530,"2018-07-16 20:06:38",23.5,17.97,4679,"sao paulo",SP,e5d0a99e3684733914f594116839e0c2,fdb16d3cbbeb5798f2f66c4096be026d,fbf4aef3f6915dc0c3c97d6812522f6a,"2018-01-18 03:00:00",health_beauty,online_medium,NULL,NULL,NULL,NULL,reseller,NULL,0
2fa13c8bd5705d279f7ed5cc9ec61c68,0c06719338eba9ad30362c43bad76d87,627dfd4a1b84a6a7e2a5e989ba72101d,4c3e319751f31fb9c21a247247fe85e0,70680,brasilia,DF,delivered,"2018-07-10 19:52:57","2018-07-10 22:31:01","2018-07-12 15:23:00","2018-07-16 15:51:39","2018-07-27 02:00:00",1,a3c6e207e106b9ccc0b813a7a0932530,"2018-07-16 20:06:38",23.5,17.97,4679,"sao paulo",SP,e5d0a99e3684733914f594116839e0c2,fdb16d3cbbeb5798f2f66c4096be026d,fbf4aef3f6915dc0c3c97d6812522f6a,"2018-01-18 03:00:00",health_beauty,online_medium,NULL,NULL,NULL,NULL,reseller,NULL,0
8a432f4e5b471f8da497d7dc517666e2,16a10c94dc005b8e19195327eb853b21,9e5dc8df72aa76b7d2cf26f4e549466c,141902ce86bbe8dab919938119c54f1b,27331,"barra mansa",RJ,delivered,"2018-04-20 21:47:03","2018-04-24 21:06:49","2018-04-24 00:11:37","2018-05-16 16:20:42","2018-05-10 02:00:00",1,261dc97192b478e60fd1318cd0650618,"2018-04-26 22:31:22",39,18.23,19042,"presidente prudente",SP,384008daaa0f14b58912d8648101fdd0,9e4d1098a3b0f5da39b0bc48f9876645,c638112b43f1d1b86dcabb0da720c901,"2018-03-12 18:30:06",bed_bath_table,online_big,cat,NULL,NULL,NULL,reseller,NULL,0
9c7fd21e0aa159b20da593371f08ff7c,01cce1175ac3c4a450e3a0f856d02734,6ec610172716519f13781b3068dde24b,07fe3cee40551d2377a917fb4f377714,5590,"sao paulo",SP,delivered,"2018-07-19 22:32:57","2018-07-19 22:43:14","2018-07-20 10:23:00","2018-07-21 18:27:44","2018-08-06 02:00:00",1,415dfa57292b8b7360d3f4cf2f9bff06,"2018-07-25 22:43:14",60,25.24,6180,osasco,SP,acc0e9c96173c579c90c05de205a2b63,4b339f9567d060bcea4f5136b9f5949e,2695de1affa7750089c0455f8ce27021,"2018-02-16 12:56:46",audio_video_electronics,online_medium,cat,NULL,NULL,NULL,reseller,NULL,0
77a515caa36327151d1cc6c32a9f00e1,01f48b2a27229e667db384b5b9d5dfa4,1f4e48d20f0deaacefd7fc19a4382c65,520461ee715946f0513f41524ee3213f,3573,"sao paulo",SP,delivered,"2018-05-17 00:32:50","2018-05-17 00:55:50","2018-05-17 17:21:00","2018-05-18 17:46:42","2018-05-28 02:00:00",1,8877966d8f081b2857a5e293d6ecf59e,"2018-05-23 00:55:50",59.9,8.29,9912,diadema,SP,bd47dc58209bc820d555f935bf055e40,de63de0d10a6012430098db33c679b0b,4ef15afb4b2723d8f3d81e51ec7afefe,"2018-02-15 15:58:37",stationery,industry,cat,NULL,NULL,NULL,manufacturer,NULL,0
845e8036c3f7bf62099352f5ed910240,05f5cfec67106e59d6280f62c4792d25,dae09add1fb0749dd2deb3555fb5ff52,cb2b7396e93f306c9076b63930b1a332,30140,"belo horizonte",MG,delivered,"2018-07-26 12:20:44","2018-07-26 12:35:16","2018-07-26 17:31:00","2018-07-30 22:32:15","2018-08-10 02:00:00",1,8ebb1bc470f9bfd4017c0be0773211ad,"2018-07-30 12:35:16",49.9,15.45,21041,"rio de janeiro",RJ,9b6edcffd428da99ae60cc01049a8403,34d40cdaf94010a1d05b0d6212f9e909,4ef15afb4b2723d8f3d81e51ec7afefe,"2018-05-03 05:00:00",bed_bath_table,online_big,cat,NULL,NULL,NULL,reseller,NULL,0
d598f929fc44e1e38678e7f47250ec04,08f33b9700f597f74ec8fc4f1d56eda7,f0bc77743882d666e091a12181b32386,62113ac26ffc26f24232f838fe2befbb,1539,"sao paulo",SP,delivered,"2018-06-22 12:43:09","2018-06-22 12:58:38","2018-06-27 08:50:00","2018-07-03 18:22:38","2018-07-26 02:00:00",1,c4b21b551ef498a942996724f6f82695,"2018-06-28 12:58:38",69.9,37.4,73801,formosa,GO,2c30dbced2ca2da386510d7416679269,56bf83c4bb35763a51c2baab501b4c67,495d4e95a8cf8bbf8b432b612a2aa328,"2018-04-20 20:13:06",car_accessories,industry,cat,NULL,NULL,NULL,reseller,NULL,0
