,sdr_id,sr_id,business_segment,lead_type,business_type,declared_product_catalog_size,declared_monthly_revenue
0,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,pet,online_medium,reseller,,0.0
1,09285259593c61296eef10c734121d5b,d3d1e91a157ea7f90548eef82f1955e3,car_accessories,industry,reseller,,0.0
2,b90f87164b5f8c2cfa5c8572834dbe3f,6565aa9ce3178a5caf6171827af3a9ba,home_appliances,online_big,reseller,,0.0
3,56bf83c4bb35763a51c2baab501b4c67,d3d1e91a157ea7f90548eef82f1955e3,food_drink,online_small,reseller,,0.0
4,4b339f9567d060bcea4f5136b9f5949e,d3d1e91a157ea7f90548eef82f1955e3,home_appliances,industry,manufacturer,,0.0
5,fdb16d3cbbeb5798f2f66c4096be026d,495d4e95a8cf8bbf8b432b612a2aa328,health_beauty,online_medium,manufacturer,,0.0
6,4b339f9567d060bcea4f5136b9f5949e,85fc447d336637ba1df43e793199fbc8,computers,online_medium,reseller,,0.0
7,34d40cdaf94010a1d05b0d6212f9e909,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,offline,manufacturer,,0.0
8,f42a2bd194f7802ab052a815c8de65b7,6565aa9ce3178a5caf6171827af3a9ba,household_utilities,offline,reseller,,0.0
9,9d12ef1a7eca3ec58c545c678af7869c,9e4d1098a3b0f5da39b0bc48f9876645,household_utilities,online_medium,manufacturer,,0.0
10,fdb16d3cbbeb5798f2f66c4096be026d,4ef15afb4b2723d8f3d81e51ec7afefe,construction_tools_house_garden,online_medium,reseller,,0.0
11,de63de0d10a6012430098db33c679b0b,d3d1e91a157ea7f90548eef82f1955e3,construction_tools_house_garden,online_big,reseller,,0.0
12,09285259593c61296eef10c734121d5b,2695de1affa7750089c0455f8ce27021,household_utilities,online_medium,reseller,,0.0
13,4b339f9567d060bcea4f5136b9f5949e,9ae085775a198122c5586fa830ff7f2b,toys,online_big,reseller,,0.0
14,068066e24f0c643eb1d089c7dd20cd73,de63de0d10a6012430098db33c679b0b,sports_leisure,online_medium,reseller,,0.0
15,f42a2bd194f7802ab052a815c8de65b7,495d4e95a8cf8bbf8b432b612a2aa328,stationery,industry,reseller,2000.0,100000.0
16,09285259593c61296eef10c734121d5b,060c0a26f19f4d66b42e0d8796688490,food_drink,online_medium,manufacturer,,0.0
17,de63de0d10a6012430098db33c679b0b,4ef15afb4b2723d8f3d81e51ec7afefe,food_supplement,industry,manufacturer,,0.0
18,9d12ef1a7eca3ec58c545c678af7869c,fbf4aef3f6915dc0c3c97d6812522f6a,home_decor,online_medium,manufacturer,,0.0
19,b90f87164b5f8c2cfa5c8572834dbe3f,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,online_top,reseller,,0.0
20,56bf83c4bb35763a51c2baab501b4c67,c638112b43f1d1b86dcabb0da720c901,bed_bath_table,offline,reseller,,0.0
21,9e4d1098a3b0f5da39b0bc48f9876645,060c0a26f19f4d66b42e0d8796688490,health_beauty,online_small,reseller,,0.0
22,56bf83c4bb35763a51c2baab501b4c67,9ae085775a198122c5586fa830ff7f2b,watches,online_big,reseller,,0.0
23,56bf83c4bb35763a51c2baab501b4c67,d3d1e91a157ea7f90548eef82f1955e3,fashion_accessories,online_beginner,manufacturer,,0.0
24,fdb16d3cbbeb5798f2f66c4096be026d,4ef15afb4b2723d8f3d81e51ec7afefe,jewerly,online_medium,manufacturer,,0.0
25,068066e24f0c643eb1d089c7dd20cd73,9ae085775a198122c5586fa830ff7f2b,home_decor,industry,manufacturer,,0.0
26,fdb16d3cbbeb5798f2f66c4096be026d,4ef15afb4b2723d8f3d81e51ec7afefe,pet,online_small,reseller,,0.0
27,4b339f9567d060bcea4f5136b9f5949e,fbf4aef3f6915dc0c3c97d6812522f6a,household_utilities,industry,reseller,,0.0
28,09285259593c61296eef10c734121d5b,6565aa9ce3178a5caf6171827af3a9ba,computers,online_beginner,reseller,,0.0
29,370c9f455f93a9a96cbe9bea48e70033,85fc447d336637ba1df43e793199fbc8,party,online_medium,manufacturer,,0.0
30,9d12ef1a7eca3ec58c545c678af7869c,a8387c01a09e99ce014107505b92388c,small_appliances,online_medium,reseller,,0.0
31,4b339f9567d060bcea4f5136b9f5949e,de63de0d10a6012430098db33c679b0b,food_supplement,online_small,reseller,,0.0
32,09285259593c61296eef10c734121d5b,de63de0d10a6012430098db33c679b0b,health_beauty,online_medium,reseller,,0.0
33,09285259593c61296eef10c734121d5b,fbf4aef3f6915dc0c3c97d6812522f6a,audio_video_electronics,industry,reseller,,0.0
34,e7dff61b78bebffa71678e126ce669ad,068066e24f0c643eb1d089c7dd20cd73,computers,online_medium,reseller,80.0,0.0
35,34d40cdaf94010a1d05b0d6212f9e909,85fc447d336637ba1df43e793199fbc8,pet,industry,manufacturer,,0.0
36,a8387c01a09e99ce014107505b92388c,9ae085775a198122c5586fa830ff7f2b,food_drink,online_medium,manufacturer,,0.0
37,6aa3b86a83d784b05f0e37e26b20860d,de63de0d10a6012430098db33c679b0b,health_beauty,online_medium,reseller,15.0,20000.0
38,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,bed_bath_table,online_beginner,manufacturer,,0.0
39,56bf83c4bb35763a51c2baab501b4c67,d3d1e91a157ea7f90548eef82f1955e3,car_accessories,online_medium,reseller,,0.0
40,370c9f455f93a9a96cbe9bea48e70033,a8387c01a09e99ce014107505b92388c,health_beauty,online_medium,reseller,,0.0
41,084b6fbb10729ed4da8c3d3f5a3ae7c9,0a0fb2b07d841f84fb6714e35c723075,other,other,other,120.0,6000.0
42,068066e24f0c643eb1d089c7dd20cd73,2695de1affa7750089c0455f8ce27021,fashion_accessories,online_beginner,manufacturer,,0.0
